WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_33,GemiddeldeHuishoudensgrootte_32,GemiddeldInkomenPerInwoner_66,HuishoudensMetKinderen_31,HuishoudensTotaal_28,HuishOnderOfRondSociaalMinimum_73,MateVanStedelijkheid_104,k_0Tot15Jaar_8,k_25Tot45Jaar_10,k_65JaarOfOuder_12,cluster_id,cluster_label_short,cluster_label_long
BU16800000,Aa en Hunze                             ,Buurt     ,BU16800000,3395,1345.0,2.3,26.8,515,1470,3.8,5.0,545,600,820,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU16800100,Aa en Hunze                             ,Buurt     ,BU16800100,1245,730.0,2.3,24.8,185,540,5.8,5.0,200,260,235,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16800200,Aa en Hunze                             ,Buurt     ,BU16800200,335,578.0,2.2,26.7,45,145,5.5,5.0,35,45,95,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16800300,Aa en Hunze                             ,Buurt     ,BU16800300,400,735.0,2.4,28.9,55,165,2.5,5.0,30,35,110,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU16800500,Aa en Hunze                             ,Buurt     ,BU16800500,545,566.0,2.1,32.7,55,255,3.2,5.0,55,55,170,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16800600,Aa en Hunze                             ,Buurt     ,BU16800600,430,337.0,2.5,27.1,75,170,2.4,5.0,75,70,60,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU16801100,Aa en Hunze                             ,Buurt     ,BU16801100,420,714.0,2.3,25.3,60,175,3.6,5.0,65,80,55,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801200,Aa en Hunze                             ,Buurt     ,BU16801200,245,406.0,2.1,23.1,35,115,4.5,5.0,35,60,35,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801400,Aa en Hunze                             ,Buurt     ,BU16801400,1475,440.0,2.2,24.0,195,675,4.2,5.0,185,235,480,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801409,Aa en Hunze                             ,Buurt     ,BU16801409,255,16.0,1.8,24.3,25,140,10.3,5.0,20,35,60,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801500,Aa en Hunze                             ,Buurt     ,BU16801500,1820,919.0,2.3,20.0,295,785,9.6,5.0,290,360,350,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801600,Aa en Hunze                             ,Buurt     ,BU16801600,615,268.0,2.2,24.0,95,270,4.1,5.0,75,105,125,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801700,Aa en Hunze                             ,Buurt     ,BU16801700,4895,1203.0,2.2,25.6,725,2175,4.5,4.0,750,870,1325,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU16801800,Aa en Hunze                             ,Buurt     ,BU16801800,685,1028.0,2.4,22.3,115,280,5.7,5.0,120,160,115,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16801900,Aa en Hunze                             ,Buurt     ,BU16801900,3750,1125.0,2.1,26.5,465,1680,3.0,5.0,465,560,1255,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU16802000,Aa en Hunze                             ,Buurt     ,BU16802000,650,847.0,2.3,28.4,100,275,5.9,5.0,100,130,115,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16802009,Aa en Hunze                             ,Buurt     ,BU16802009,280,6.0,2.4,25.5,35,110,7.4,5.0,25,55,55,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU16802100,Aa en Hunze                             ,Buurt     ,BU16802100,260,692.0,2.3,25.8,35,105,2.8,5.0,40,35,65,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07380000,Aalburg                                 ,Buurt     ,BU07380000,5190,2295.0,2.6,22.7,845,1935,4.3,4.0,1020,1170,935,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU07380001,Aalburg                                 ,Buurt     ,BU07380001,840,327.0,2.9,26.2,150,285,4.3,5.0,185,205,110,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07380100,Aalburg                                 ,Buurt     ,BU07380100,2635,1781.0,2.7,23.4,455,985,5.4,5.0,555,675,370,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07380200,Aalburg                                 ,Buurt     ,BU07380200,1640,1074.0,2.6,24.1,280,630,4.5,5.0,290,365,295,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07380300,Aalburg                                 ,Buurt     ,BU07380300,665,1742.0,2.6,25.3,115,260,2.0,5.0,125,165,110,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07380400,Aalburg                                 ,Buurt     ,BU07380400,655,1310.0,2.7,23.4,115,245,2.4,5.0,120,145,115,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07380600,Aalburg                                 ,Buurt     ,BU07380600,340,259.0,2.5,26.7,55,135,0.7,5.0,55,60,60,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU03580000,Aalsmeer                                ,Buurt     ,BU03580000,2435,4542.0,2.0,32.7,285,1165,4.6,4.0,325,610,745,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU03580001,Aalsmeer                                ,Buurt     ,BU03580001,6390,3477.0,2.2,27.6,1020,2810,5.1,3.0,1025,1340,1390,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU03580004,Aalsmeer                                ,Buurt     ,BU03580004,2500,966.0,2.3,26.6,370,1090,3.5,4.0,345,490,775,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU03580005,Aalsmeer                                ,Buurt     ,BU03580005,900,438.0,2.3,36.3,140,395,2.6,4.0,125,155,205,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU03580100,Aalsmeer                                ,Buurt     ,BU03580100,9210,2117.0,2.5,27.7,1630,3755,3.3,4.0,1860,2350,1330,3,Stedelijke gemeenschap,Een gemiddelde stedelijke gemeenschap met diverse leeftijdsgroepen en inkomensniveau's.
BU03580200,Aalsmeer                                ,Buurt     ,BU03580200,985,640.0,2.3,30.3,155,430,4.1,4.0,125,200,205,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU03580201,Aalsmeer                                ,Buurt     ,BU03580201,770,367.0,2.4,27.3,120,325,4.4,5.0,115,155,150,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU03580205,Aalsmeer                                ,Buurt     ,BU03580205,7760,2921.0,2.8,29.9,1580,2800,3.5,3.0,1930,1870,830,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU03580206,Aalsmeer                                ,Buurt     ,BU03580206,400,165.0,2.2,39.0,55,180,1.1,5.0,40,75,100,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970102,Aalten                                  ,Buurt     ,BU01970102,600,81.0,2.9,24.5,70,160,1.9,5.0,115,125,85,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970103,Aalten                                  ,Buurt     ,BU01970103,370,49.0,2.6,23.0,55,140,5.0,5.0,60,65,60,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970104,Aalten                                  ,Buurt     ,BU01970104,470,52.0,2.8,23.0,80,165,4.2,5.0,75,80,85,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970108,Aalten                                  ,Buurt     ,BU01970108,645,48.0,2.7,23.7,95,235,3.8,5.0,110,105,125,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970110,Aalten                                  ,Buurt     ,BU01970110,630,83.0,2.7,25.3,95,235,2.6,5.0,100,90,115,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970111,Aalten                                  ,Buurt     ,BU01970111,585,52.0,2.6,22.5,95,225,5.5,5.0,100,100,120,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970204,Aalten                                  ,Buurt     ,BU01970204,1425,2498.0,2.3,21.9,215,615,3.5,5.0,240,310,270,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU01970301,Aalten                                  ,Buurt     ,BU01970301,2065,3857.0,2.3,20.6,300,890,3.6,4.0,350,460,485,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
