WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_34,GemiddeldeHuishoudensgrootte_33,HuishoudensMetKinderen_32,HuishoudensTotaal_29,MateVanStedelijkheid_122,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeregistreerdeMisdrijven_1,crime_property,crime_violence,crime_vandalism,cluster_id,cluster_label_short,cluster_label_long,pca_x,pca_y,buurt_naam
BU01630408,Hellendoorn                             ,Buurt     ,BU01630408,815,2754.0,2.5,135,325,4.0,135,90,210,200,180,34.0,9.0,1.0,7.0,5,label_short,label_long,-1.0472193744128666,0.3709050032976209,'n Oaln Diek
BU07660216,Dongen                                  ,Buurt     ,BU07660216,2210,985.0,2.2,320,995,5.0,270,215,435,745,545,61.0,15.0,4.0,11.0,5,label_short,label_long,0.8620460333254086,1.3297353912169585,'s Gravenmoer
BU16960000,Wijdemeren                              ,Buurt     ,BU16960000,1400,268.0,2.0,195,710,4.0,155,130,275,480,360,100.0,34.0,7.0,9.0,5,label_short,label_long,-0.0747152983396251,0.1810064382200375,'s-Graveland
BU19630650,Hoeksche Waard                          ,Buurt     ,BU19630650,60,69.0,2.9,10,20,4.0,10,10,10,20,15,13.0,4.0,1.0,1.0,0,label_short,label_long,-2.4257788251648145,0.5280102191493752,'s-Gravendeel Bedrijventerr. Mijlpolder
BU19630699,Hoeksche Waard                          ,Buurt     ,BU19630699,1030,64.0,2.3,135,380,5.0,175,135,245,305,175,57.0,16.0,6.0,6.0,5,label_short,label_long,-0.9280054334685864,0.6011680383943137,'s-Gravendeel Buitengebied
BU19630600,Hoeksche Waard                          ,Buurt     ,BU19630600,8100,4760.0,2.2,1195,3605,3.0,1225,870,1895,2070,2040,281.0,59.0,26.0,52.0,9,label_short,label_long,10.51777214197381,4.098651846284064,'s-Gravendeel Woonkern
BU05991444,Rotterdam                               ,Buurt     ,BU05991444,8290,3988.0,2.2,1350,3760,2.0,1215,1105,1780,2610,1585,856.0,271.0,72.0,81.0,6,label_short,label_long,12.473452415873032,2.257037930304374,'s-Gravenland
BU05020622,Capelle aan den IJssel                  ,Buurt     ,BU05020622,185,1003.0,2.7,30,70,2.0,25,25,20,60,60,4.0,2.0,0.0,0.0,0,label_short,label_long,-1.9332493990290809,-0.1034451422082421,'s-Gravenpark
BU05020621,Capelle aan den IJssel                  ,Buurt     ,BU05020621,195,493.0,2.6,30,75,2.0,30,25,30,85,25,18.0,6.0,0.0,3.0,0,label_short,label_long,-1.884245640719584,-0.2262527362109589,'s-Gravenweg/Alexanderlaan
BU06640550,Goes                                    ,Buurt     ,BU06640550,1220,2166.0,2.2,185,530,5.0,190,120,240,365,305,35.0,6.0,0.0,11.0,5,label_short,label_long,-0.5284243302650974,0.6245209210268301,'s-Heer-Arendskerke
BU06640770,Goes                                    ,Buurt     ,BU06640770,1150,949.0,2.4,180,480,5.0,175,130,220,355,270,82.0,22.0,4.0,14.0,5,label_short,label_long,-0.6126067451588317,0.7254932986907665,'s-Heer-Hendrikskinderen
BU19550000,Montferland                             ,Buurt     ,BU19550000,5035,3106.0,2.0,700,2425,3.0,665,495,1070,1370,1440,257.0,70.0,19.0,38.0,1,label_short,label_long,5.901374575386713,1.857500725688181,'s-Heerenberg
BU19550001,Montferland                             ,Buurt     ,BU19550001,3715,2088.0,2.2,600,1675,4.0,560,420,885,1110,745,179.0,47.0,14.0,27.0,1,label_short,label_long,3.650616551710885,1.7357051285728735,"'s-Heerenberg, oostelijke uitbreiding"
BU17210101,Bernheze                                ,Buurt     ,BU17210101,675,2496.0,1.7,60,400,3.0,40,60,130,125,310,162.0,38.0,39.0,4.0,11,label_short,label_long,-0.5941041623716602,-1.6113888178949276,'t Dorp
BU02021815,Arnhem                                  ,Buurt     ,BU02021815,1665,4606.0,2.1,270,780,3.0,295,200,385,435,355,134.0,38.0,15.0,14.0,3,label_short,label_long,0.8251604186285498,-0.1874382400009575,'t Duifje
BU05370802,Katwijk                                 ,Buurt     ,BU05370802,2515,5297.0,3.0,505,840,3.0,745,240,735,595,200,82.0,25.0,7.0,9.0,3,label_short,label_long,1.753413876819506,1.854851016238914,'t Duyfrak
BU08480101,Son en Breugel                          ,Buurt     ,BU08480101,3460,4212.0,2.3,595,1470,4.0,640,370,955,875,630,108.0,28.0,6.0,19.0,1,label_short,label_long,3.173662412495363,1.8224495569831245,'t Eigen en Hoogstraat
BU03213071,Houten                                  ,Buurt     ,BU03213071,120,1258.0,2.2,15,50,5.0,10,20,10,50,25,4.0,1.0,1.0,0.0,8,label_short,label_long,-2.275487633770394,-0.0656754649068911,'t Goyse Dorp
BU01094044,Coevorden                               ,Buurt     ,BU01094044,210,384.0,2.3,25,90,5.0,20,10,30,65,85,2.0,0.0,0.0,1.0,8,label_short,label_long,-2.221888718281529,0.1949418326009289,'t Haantje
BU02223112,Doetinchem                              ,Buurt     ,BU02223112,2385,2991.0,2.2,360,1085,4.0,270,310,385,715,710,54.0,17.0,4.0,6.0,5,label_short,label_long,1.358113228681432,1.1434434855382414,'t Hagelkruis
BU03420102,Soest                                   ,Buurt     ,BU03420102,4230,2988.0,2.4,705,1785,2.0,765,475,965,1230,790,176.0,40.0,22.0,25.0,1,label_short,label_long,4.684666044417487,1.845113036969889,'t Hart
BU05370202,Katwijk                                 ,Buurt     ,BU05370202,10,17.0,1.7,0,5,3.0,0,5,0,5,5,76.0,21.0,8.0,9.0,8,label_short,label_long,-1.9009885359019345,-1.3805062821500855,'t Heen-Noord
BU01630503,Hellendoorn                             ,Buurt     ,BU01630503,485,37.0,2.3,85,220,5.0,65,80,100,155,95,44.0,8.0,3.0,11.0,8,label_short,label_long,-1.633864535551638,0.2639103410870994,'t Hexel
BU07723350,Eindhoven                               ,Buurt     ,BU07723350,3790,2528.0,1.8,510,2075,3.0,480,675,955,925,755,322.0,86.0,35.0,37.0,1,label_short,label_long,4.526906735427257,0.2344080813286306,'t Hofke
BU04020502,Hilversum                               ,Buurt     ,BU04020502,1545,1119.0,2.3,235,670,2.0,215,175,205,525,430,67.0,19.0,3.0,11.0,5,label_short,label_long,0.3176986624427996,0.2876574377531323,'t Hoogt van 't Kruis
BU07725140,Eindhoven                               ,Buurt     ,BU07725140,2295,6782.0,2.2,380,1065,1.0,445,305,665,515,370,220.0,75.0,13.0,21.0,3,label_short,label_long,2.2582477429517627,-0.4601919352334335,'t Hool
BU03450441,Veenendaal                              ,Buurt     ,BU03450441,3120,5271.0,2.2,475,1435,1.0,535,375,970,755,480,168.0,43.0,20.0,20.0,1,label_short,label_long,3.252505711172301,0.2182907804154157,'t Hoorntje
BU07941300,Helmond                                 ,Buurt     ,BU07941300,3680,4591.0,2.2,590,1650,2.0,545,390,895,980,880,286.0,82.0,21.0,38.0,1,label_short,label_long,4.230047191449958,0.6870502602513467,'t Hout-Centrum
BU05370801,Katwijk                                 ,Buurt     ,BU05370801,1835,8351.0,2.6,335,695,3.0,385,220,455,485,290,40.0,5.0,3.0,12.0,3,label_short,label_long,0.8981728888383692,0.6421097275947372,'t Joght
BU17350603,Hof van Twente                          ,Buurt     ,BU17350603,610,1321.0,1.8,50,270,4.0,30,45,45,125,365,24.0,7.0,1.0,4.0,8,label_short,label_long,-1.3487626037244913,-0.474162902836653,'t Kip
BU19160302,Leidschendam-Voorburg                   ,Buurt     ,BU19160302,1565,6198.0,2.1,210,750,2.0,235,110,300,390,530,51.0,13.0,5.0,7.0,3,label_short,label_long,0.5490128545001078,-0.2956337531720275,'t Lien noord
BU19160300,Leidschendam-Voorburg                   ,Buurt     ,BU19160300,2855,7774.0,2.2,455,1265,1.0,500,285,635,775,675,136.0,21.0,6.0,40.0,3,label_short,label_long,3.039658487959672,0.1531340842145676,'t Lien zuid
BU01630407,Hellendoorn                             ,Buurt     ,BU01630407,55,35.0,2.2,10,25,5.0,10,5,15,15,10,72.0,18.0,6.0,11.0,8,label_short,label_long,-2.2062904726897585,-0.2756439960317167,'t Lochter
BU18590417,Berkelland                              ,Buurt     ,BU18590417,675,2429.0,2.1,80,320,4.0,65,50,100,210,245,22.0,9.0,0.0,2.0,8,label_short,label_long,-1.273570457722673,-0.1222899948143544,'t Loo
BU02690004,Oldebroek                               ,Buurt     ,BU02690004,640,2664.0,2.6,110,245,5.0,115,90,120,190,125,10.0,3.0,1.0,1.0,0,label_short,label_long,-1.5139748187804982,0.69915407058207,'t Loo
BU01890006,Wierden                                 ,Buurt     ,BU01890006,405,1404.0,2.9,70,140,4.0,45,75,60,145,75,20.0,4.0,2.0,4.0,0,label_short,label_long,-1.8282438306821125,0.6480694766340471,'t Loo
BU08610005,Veldhoven                               ,Buurt     ,BU08610005,2675,3299.0,2.2,420,1195,2.0,415,290,635,710,625,114.0,28.0,9.0,19.0,3,label_short,label_long,2.2424749343941457,0.6159595049068094,'t Look
BU09173302,Heerlen                                 ,Buurt     ,BU09173302,755,5390.0,1.5,45,520,1.0,30,65,155,155,350,220.0,56.0,36.0,16.0,11,label_short,label_long,0.1019683225939762,-2.6357452390418,'t Loon
BU17741020,Dinkelland                              ,Buurt     ,BU17741020,985,3953.0,3.1,200,315,4.0,265,125,310,235,40,18.0,4.0,0.0,5.0,0,label_short,label_long,-0.8957463656108885,1.2044696791148382,'t Pierik
BU03610601,Alkmaar                                 ,Buurt     ,BU03610601,2990,5840.0,2.1,505,1440,2.0,470,330,790,840,560,80.0,13.0,16.0,10.0,3,label_short,label_long,2.839821970480428,0.6107823088700106,'t Rak-Noord
BU03610600,Alkmaar                                 ,Buurt     ,BU03610600,3675,6020.0,2.2,625,1695,2.0,590,385,980,1010,710,183.0,41.0,16.0,34.0,1,label_short,label_long,4.136401355109809,0.8970147076809054,'t Rak-Zuid
BU19030203,Eijsden-Margraten                       ,Buurt     ,BU19030203,40,44.0,2.4,5,15,5.0,0,5,5,15,10,2.0,0.0,1.0,0.0,0,label_short,label_long,-2.497395585103086,0.1938195721754009,'t Rooth
BU01640204,Hengelo (O.)                            ,Buurt     ,BU01640204,315,419.0,2.8,60,110,2.0,85,35,95,65,35,10.0,4.0,0.0,1.0,0,label_short,label_long,-1.7742268106434091,0.1394013186223499,'t Rot
BU03270500,Leusden                                 ,Buurt     ,BU03270500,1835,5670.0,2.0,250,930,2.0,240,175,495,530,395,64.0,14.0,3.0,14.0,3,label_short,label_long,1.0003651950918886,-0.2990254426410373,'t Ruige Veld
BU05370302,Katwijk                                 ,Buurt     ,BU05370302,750,2936.0,2.0,50,205,2.0,85,90,205,175,190,50.0,23.0,0.0,2.0,11,label_short,label_long,-0.9343200197114389,-0.8545016504065384,'t Sandt
BU17741614,Dinkelland                              ,Buurt     ,BU17741614,150,788.0,2.6,25,55,5.0,40,10,55,25,15,2.0,1.0,0.0,0.0,0,label_short,label_long,-2.3555335795866257,0.4689144850980496,'t Spikkert
BU08520005,Waterland                               ,Buurt     ,BU08520005,245,4438.0,1.7,25,150,3.0,20,15,60,60,100,34.0,9.0,6.0,2.0,11,label_short,label_long,-1.4876724737318572,-1.3800062963392723,'t Spil
