Identifier,Title
BU16800000,Annen
BU16800009,Verspreide huizen Annen
BU16800100,Eext
BU16800109,Verspreide huizen Eext
BU16800200,Anloo
BU16800209,Verspreide huizen Anloo
BU16800300,Gasteren
BU16800309,Verspreide huizen Gasteren
BU16800400,Anderen
BU16800409,Verspreide huizen Anderen
BU16800500,Schipborg
BU16800509,Verspreide huizen Schipborg
BU16800600,Eexterveen
BU16800609,Verspreide huizen Eexterveen
BU16800700,Spijkerboor
BU16800709,Verspreide huizen Spijkerboor
BU16800800,Nieuw-Annerveen
BU16800809,Verspreide huizen Nieuw-Annerveen
BU16800900,Oud-Annerveen
BU16800909,Verspreide huizen Oud-Annerveen
BU16801100,Annerveenschekanaal
BU16801109,Verspreide huizen Annerveenschekanaal
BU16801200,Eexterveenschekanaal
BU16801209,Verspreide huizen Eexterveenschekanaal
BU16801300,Eexterzandvoort
BU16801309,Verspreide huizen Eexterzandvoort
BU16801400,Gasselte
BU16801401,Kostvlies
BU16801409,Verspreide huizen Gasselte
BU16801500,Gasselternijveen
BU16801501,Gasselterboerveen
BU16801509,Verspreide huizen Gasselternijveen
BU16801600,Gasselternijveenschemond
BU16801601,Gasselterboerveenschemond
BU16801609,Verspr.h. Gasselternijveenschemond
BU16801700,Gieten
BU16801709,Verspreide huizen Gieten
BU16801800,Gieterveen
BU16801801,Bonnerveen
BU16801802,Nieuwediep
BU16801809,Verspreide huizen Gieterveen
BU16801900,Rolde
BU16801901,Ballo
BU16801902,Nijlande
BU16801903,Deurze
BU16801908,Verspreide huizen Nooitgedacht
BU16801909,Verspreide huizen Rolde
BU16802000,Grolloo
BU16802001,Schoonloo
BU16802008,Verspreide huizen Papenvoort
BU16802009,Verspreide huizen Grolloo
BU16802100,Ekehaar
BU16802101,Amen
BU16802109,Verspreide huizen Ekehaar
BU03580000,Centrum
BU03580001,Stommeer
BU03580004,Hornmeer
BU03580005,Uiterweg
BU03580100,Kudelstaart
BU03580200,Bovenlanden
BU03580201,Greenpark
BU03580205,Oosteinde
BU03580206,Schinkelpolder
