WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00340101,5030,79
BU00340102,5043,54
BU00340201,5069,24
BU00340202,5082,11
BU00340203,5095,31
BU00340204,5108,23
BU00340205,5121,18
BU00340301,5147,15
BU00340302,5160,21
BU00340303,5173,31
BU00340304,5186,2
BU00340401,5212,32
BU00340402,5225,11
BU00340403,5238,30
BU00340501,5264,39
BU00340502,5277,23
BU00340503,5290,15
BU00340504,5303,1
BU00340601,5329,20
BU00340602,5342,61
BU00340603,5355,6
BU00340604,5368,3
BU00340605,5381,1
BU00340606,5394,1
BU00340701,5420,12
BU00340702,5433,7
BU00340703,5446,27
BU00340704,5459,2
BU00340801,5485,21
BU00340802,5498,31
BU00340803,5511,56
BU00340901,5537,7
BU00340902,5550,12
BU00341001,5576,24
BU00341002,5589,1
BU00341003,5602,1
BU00341101,5628,12
BU00341102,5641,28
BU00341401,5667,41
BU00341501,5693,15
BU00341601,5719,3
BU00341602,5732,65
BU00341701,5758,225
BU00341702,5771,568
BU00341703,5784,283
BU00341704,5797,217
BU00341705,5810,464
BU00341801,5836,59
BU00341802,5849,56
BU00341803,5862,42
BU00341804,5875,64
BU00341805,5888,67
BU00341806,5901,42
BU00341807,5914,5
BU00341808,5927,1
BU00341901,5953,42
BU00341902,5966,71
BU00341903,5979,23
BU00341904,5992,12
BU00342001,6018,207
BU00342002,6031,55
BU00342003,6044,27
BU00342004,6057,13
BU00342005,6070,0
BU00342101,6096,41
BU00342102,6109,22
BU00342103,6122,8
BU00342201,6148,81
BU00342202,6161,25
BU00342203,6174,19
BU00342204,6187,52
BU00342205,6200,44
BU00342206,6213,8
BU00342301,6239,24
BU00342302,6252,53
BU00342303,6265,32
BU00342304,6278,43
BU00342401,6304,26
BU00342402,6317,49
BU00342403,6330,30
BU00342404,6343,35
BU00342405,6356,60
BU00342406,6369,40
BU00342407,6382,16
BU00342408,6395,6
BU00342501,6421,44
BU00342502,6434,38
BU00342503,6447,56
BU00342601,6473,17
BU00342602,6486,29
BU00342603,6499,37
BU00342604,6512,67
BU00342605,6525,12
BU00342606,6538,111
BU00342607,6551,44
BU00342608,6564,4
BU00342609,6577,13
BU00342701,6603,119
BU00342702,6616,59
BU00342703,6629,115
BU00342704,6642,76
BU00342705,6655,33
BU00342706,6668,8
BU00342707,6681,11
BU00342708,6694,5
BU00342801,6720,29
BU00342802,6733,30
BU00342803,6746,16
BU00342804,6759,33
BU00342805,6772,38
BU00342806,6785,127
BU00342807,6798,25
BU00342808,6811,83
BU00342809,6824,6
BU00342810,6837,12
BU00342901,6863,83
BU00342902,6876,113
BU00342903,6889,102
BU00342904,6902,37
BU00343001,6928,45
BU00343002,6941,25
BU00343003,6954,45
BU00343004,6967,34
BU00343005,6980,75
BU00343006,6993,3
BU00343007,7006,20
BU00343101,7032,19
BU00343102,7045,7
BU00343103,7058,23
BU00343104,7071,40
BU00343105,7084,18
BU00343201,7110,30
BU00343401,7136,18
BU00343402,7149,9
BU00343403,7162,8
BU00343501,7188,44
BU00343502,7201,20
BU00343601,7227,8
BU00343701,7253,49
BU00343702,7266,69
BU00343801,7292,87
BU00343802,7305,36
BU00343901,7331,15
BU00343902,7344,7
BU00343903,7357,0
BU00344001,7383,5
BU00344002,7396,29
BU00344003,7409,3
BU00344101,7435,180
BU00344102,7448,184
BU00344201,7474,19
BU00344202,7487,30
BU00344203,7500,59
BU00344204,7513,5
BU00344301,7539,15
BU00344302,7552,38
BU00344303,7565,42
BU00344304,7578,1
BU00344401,7604,36
BU00344402,7617,56
BU00344403,7630,8
BU00344501,7656,35
BU00344502,7669,84
BU00344503,7682,13
BU00344504,7695,1
BU00344505,7708,14
BU00344601,7734,58
BU00344602,7747,30
BU00344603,7760,17
BU00344701,7786,48
BU00344702,7799,22
BU00344703,7812,21
BU00344704,7825,21
BU00344801,7851,32
BU00344802,7864,24
BU00344803,7877,43
BU00344804,7890,27
BU00344901,7916,50
BU00344902,7929,22
BU00344903,7942,62
BU00344904,7955,4
BU00345001,7981,26
BU00345002,7994,161
BU00345101,8020,27
BU00345102,8033,30
BU00345103,8046,17
BU00345104,8059,56
BU00345105,8072,2
BU00345201,8098,43
BU00345202,8111,22
