WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00000000,425638921,8090.0
BU00140000,416362823,2665.0
BU00140001,416363590,4139.0
BU00140002,416364357,579.0
BU00140003,416365124,703.0
BU00140004,416365891,106.0
BU00140005,416366658,870.0
BU00140007,416367425,247.0
BU00140008,416368192,982.0
BU00140100,416369726,117.0
BU00140101,416370493,479.0
BU00140102,416371260,126.0
BU00140103,416372027,439.0
BU00140104,416372794,230.0
BU00140105,416373561,78.0
BU00140106,416374328,211.0
BU00140107,416375095,76.0
BU00140108,416375862,89.0
BU00140109,416376629,99.0
BU00140110,416377396,156.0
BU00140200,416378930,234.0
BU00140201,416379697,316.0
BU00140202,416380464,455.0
BU00140203,416381231,151.0
BU00140301,416382765,979.0
BU00140302,416383532,728.0
BU00140303,416384299,479.0
BU00140304,416385066,18.0
BU00140400,416386600,664.0
BU00140401,416387367,338.0
BU00140402,416388134,288.0
BU00140403,416388901,111.0
BU00140404,416389668,180.0
BU00140500,416391202,83.0
BU00140501,416391969,282.0
BU00140503,416392736,78.0
BU00140504,416393503,20.0
BU00140505,416394270,76.0
BU00140506,416395037,70.0
BU00140507,416395804,193.0
BU00140508,416396571,73.0
BU00140509,416397338,13.0
BU00140510,416398105,14.0
BU00140511,416398872,0.0
BU00140512,416399639,339.0
BU00140513,416400406,78.0
BU00140600,416401940,159.0
BU00140601,416402707,252.0
BU00140602,416403474,22.0
BU00140603,416404241,71.0
BU00140604,416405008,620.0
BU00140605,416405775,526.0
BU00140606,416406542,124.0
BU00140700,416408076,563.0
BU00140701,416408843,240.0
BU00140702,416409610,14.0
BU00140703,416410377,149.0
BU00140704,416411144,35.0
BU00140705,416411911,4.0
BU00140800,416413445,173.0
BU00140801,416414212,272.0
BU00140802,416414979,24.0
BU00140803,416415746,2.0
BU00140804,416416513,8.0
BU00140805,416417280,4.0
BU00140806,416418047,46.0
BU00140809,416418814,10.0
BU00140810,416419581,26.0
BU00140811,416420348,14.0
BU00140812,416421115,28.0
BU00140900,416422649,388.0
BU00140901,416423416,564.0
BU00140902,416424183,161.0
BU00140903,416424950,154.0
BU00140904,416425717,246.0
BU00140905,416426484,22.0
BU00140906,416427251,55.0
BU00140907,416428018,10.0
BU00140908,416428785,46.0
BU00140909,416429552,8.0
BU00140910,416430319,51.0
BU00141000,416431853,667.0
BU00141001,416432620,468.0
BU00141002,416433387,519.0
BU00141003,416434154,155.0
BU00141004,416434921,22.0
BU00141005,416435688,89.0
BU00141100,416437222,357.0
BU00141101,416437989,572.0
BU00141102,416438756,85.0
BU00141103,416439523,42.0
BU00141104,416440290,38.0
BU00141105,416441057,18.0
BU00141106,416441824,68.0
BU00141107,416442591,5.0
BU00141200,416444125,331.0
BU00141201,416444892,170.0
BU00141202,416445659,140.0
BU00141205,416446426,37.0
BU00141206,416447193,2.0
BU00141207,416447960,102.0
BU00141208,416448727,12.0
BU00141209,416449494,8.0
BU00141210,416450261,22.0
BU00141211,416451028,67.0
BU00141212,416451795,16.0
BU00141213,416452562,193.0
BU00141214,416453329,104.0
BU00141215,416454096,30.0
BU00141216,416454863,24.0
BU00141217,416455630,18.0
BU00141301,416457164,52.0
BU00141302,416457931,16.0
